"code","division","directorate"
10040000,"Office of Budget, Finance, & Award Management",Division of Acquisition & Cooperative Support
10040001,"Office of Budget, Finance, & Award Management",Division of Acquisition & Cooperative Support
10050000,"Office of Budget, Finance, & Award Management",Division of Institution & Award Support
10060000,"Office of Budget, Finance, & Award Management",Large Facilities Office
11000000,Direct For Education and Human Resources,Direct For Education and Human Resources
11000001,Direct For Education and Human Resources,Direct For Education and Human Resources
11010000,Direct For Education and Human Resources,Division Of Graduate Education
11010001,Direct For Education and Human Resources,Division Of Graduate Education
11010100,Direct For Education and Human Resources,Division Of Graduate Education
11010101,Direct For Education and Human Resources,Division Of Graduate Education
11010102,Direct For Education and Human Resources,Division Of Graduate Education
11010103,Direct For Education and Human Resources,Division Of Graduate Education
11010104,Direct For Education and Human Resources,Division Of Graduate Education
11010201,Direct For Education and Human Resources,Division Of Graduate Education
11020000,Direct For Education and Human Resources,Div Of Elem Secondary & Informal Sci Ed
11040000,Direct For Education and Human Resources,Division Of Undergraduate Education
11040003,Direct For Education and Human Resources,Division Of Undergraduate Education
11040100,Direct For Education and Human Resources,Division Of Undergraduate Education
11040101,Direct For Education and Human Resources,Division Of Undergraduate Education
11040200,Direct For Education and Human Resources,Division Of Undergraduate Education
11040201,Direct For Education and Human Resources,Division Of Undergraduate Education
11040202,Direct For Education and Human Resources,Division Of Undergraduate Education
11040300,Direct For Education and Human Resources,Division Of Undergraduate Education
11050000,Direct For Education and Human Resources,"Div Of Rsch, Evaluation and Communicatio"
11060000,Direct For Education and Human Resources,Division Of Human Resource Development
11060100,Direct For Education and Human Resources,Division Of Human Resource Development
11060200,Direct For Education and Human Resources,Division Of Human Resource Development
11060300,Direct For Education and Human Resources,Division Of Human Resource Development
11060301,Direct For Education and Human Resources,Division Of Human Resource Development
11060302,Direct For Education and Human Resources,Division Of Human Resource Development
11060400,Direct For Education and Human Resources,Division Of Human Resource Development
11060500,Direct For Education and Human Resources,Division Of Human Resource Development
11070000,Direct For Education and Human Resources,DIVISION OF EDUCATIONAL SYSTEM REFORM
11070100,Direct For Education and Human Resources,DIVISION OF EDUCATIONAL SYSTEM REFORM
11070200,Direct For Education and Human Resources,DIVISION OF EDUCATIONAL SYSTEM REFORM
11090000,Direct For Education and Human Resources,Division Of Research On Learning
11090100,Direct For Education and Human Resources,Division Of Research On Learning
11090300,Direct For Education and Human Resources,Division Of Research On Learning
12000000,National Coordination Office,National Coordination Office
13000000,Natl Nanotechnology Coordinating Office,Natl Nanotechnology Coordinating Office
14010000,Office Of Polar Programs,Arctic Sciences Division
17090201,"",""
